id;date;details;status;payment_method;payment_date;payment_amount
1;2019-08-17T05:45:17;Principal Pennsylvania dynamic;ISSUED;PAYPAL;2019-08-17T01:00:30;49262
2;2019-08-17T05:20:48;grow;ISSUED;CREDIT_CARD;2019-08-17T05:44:06;96217
3;2019-08-17T01:49:47;Glen Refined;PAID;CASH_ON_DELIVERY;2019-08-16T22:05:28;4315
4;2019-08-17T03:41:26;Sleek Frozen Chips Senior Optional;ISSUED;CASH_ON_DELIVERY;2019-08-17T02:12:51;90115
5;2019-08-16T17:44:41;Product;CANCELLED;CREDIT_CARD;2019-08-16T19:54:39;46369
6;2019-08-17T02:07:00;Persevering analyzing;PAID;PAYPAL;2019-08-16T20:58:06;68473
7;2019-08-17T04:55:55;Frozen;ISSUED;CASH_ON_DELIVERY;2019-08-17T09:26:57;93272
8;2019-08-16T14:23:43;Aruba Chair portals;ISSUED;PAYPAL;2019-08-16T15:32:07;84211
9;2019-08-16T21:46:38;Practical Steel Shirt Plastic Movies;PAID;CREDIT_CARD;2019-08-16T21:23:30;76898
10;2019-08-16T18:00:30;program enhance Multi-channelled;PAID;PAYPAL;2019-08-16T17:16:02;61812
