id;placed_date;status;code
1;2019-08-16T13:01:58;COMPLETED;Soap Tasty Metal Sausages Outdoors
2;2019-08-16T21:22:35;PENDING;North Carolina Granite
3;2019-08-16T15:57:59;PENDING;Branding Dynamic black
4;2019-08-17T09:46:13;PENDING;Ergonomic Rubber Chicken
5;2019-08-17T03:21:28;PENDING;quantifying Garden
6;2019-08-16T15:53:16;CANCELLED;Solomon Islands Dollar
7;2019-08-17T03:04:30;CANCELLED;intermediate Table quantify
8;2019-08-16T16:04:16;COMPLETED;Robust Louisiana
9;2019-08-16T14:37:28;COMPLETED;compress Fantastic Global
10;2019-08-16T23:18:32;COMPLETED;Fantastic Small Frozen Salad bypassing
