id;tracking_code;date;details
1;global;2019-08-17T08:42:35;Moroccan Dirham
2;Springs connecting;2019-08-17T04:02:54;connecting Planner Refined
3;engage Granite Grocery;2019-08-16T17:18:43;Credit Card Account transmitter cyan
4;Checking Account;2019-08-16T11:54:15;Home Loan Account withdrawal
5;partnerships International;2019-08-17T03:04:37;Berkshire solid state
6;middleware Switzerland;2019-08-16T18:41:30;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-08-16T23:36:44;concept payment
8;robust;2019-08-16T22:32:27;Creek
9;Shirt Metal;2019-08-16T20:03:15;Chicken
10;e-business RSS;2019-08-16T23:04:10;Officer Savings Account Automated
